name,date,year,director,prod,composer,cast_mem
Calling Bell,March,2015.0,PannaRoyal,Golden Time Pictures,,"Sankeerth Maddipatla, Ravi Varma, Kishore Kumar G., Jeeva, Vriti Khanna, Mamatha Rahuth, Vamsi Yakasiri"
Tommy,March,2015.0,Raja Vannem Reddy,Babu Pictures,,"Lakshmi Alapati, Madhu Babu, Raghu Babu, Boogie, Deepak, Pushkar Gajanana, Kalagata Yashwanth Kumar, Venu Madhav, Mumtaj, Mumtaz"
Jagannatakam,March,2015.0,Pradeep Nandan,Kee Films,Ajay Arasada,"Khenisha Chandran, Abhinav Gomatam, Pradeep Nandan, Sivaji Raja"
Q Premaku Chavuku?,March,2015.0,Sanjeev Megoti,Ganesh Creations,,"Akhila, Sanjeev Megoti, Melkote, Neha Saxena, Neirah Sham, Kuri Sunil"
S/O Satyamurthy,April,2015.0,Trivikram Srinivas,Haarika & Hassine Creations,Devi Sri Prasad,"Allu Arjun, Upendra, Samantha Ruth Prabhu, Nithya Menen, Sneha, Adah Sharma, Rajendra Prasad, Rao Ramesh, Kota Srinivasa Rao, Pavitra Lokesh"
Avunu Part 2,April,2015.0,Ravi Babu,"Flying Frogs Production, Suresh Productions",Sekhar Chandra,"Ravi Babu, Chakravarthii, Sanjjanaa Galrani, Shamna Kasim, Nikhita, Harshvardhan Rane, Ravi Varma, Ravi Verma"
Dohchay,April,2015.0,Sudheer Varma,Sri Venkateswara Cine Chitra,Sunny M.R.,"Naga Chaitanya Akkineni, Kriti Sanon, Krishna Murali Posani, Brahmanandam, Ravi Babu, Harsha Chemudu, Nyra Banerjee, L.K. Keerthi Basu, Jeeva, Praveen"
Kaai Raja Kaai,April,2015.0,Siva Ganesh,"Full Moon Entertainments, Maruthi Talkies",J.B.,"Santosh Kalwacherla, Ram Khanna, Maanas, Krishna Madupu, Maanas Nagulapalli, Josh Ravi, Shravya, Varshini Sounderajan, Karan Viijay"
365 Days,May,2015.0,Ram Gopal Varma,ZED 3 Pictures Production,Seshu Kmr,"Raavi Kondala Rao, Nandu Vijay Krishna, Satya Krishnan, Krishnudu, Krishna Murali Posani, Anaika Soti"
Dagudumootha Dandakor,May,2015.0,R.K. Malineni,"First Frame Entertainment, Ushakiran Movies",E.S. Murthy,"Sara Arjun, Pawan Bolisetty, Sidhu Jonnalagadda, Raghu Kumar Karumanchi, Ravi Prakash, Rajendra Prasad, Nitya Shetty"
Kerintha,June,2015.0,Sai Kiran Adivi,Sri Venkateswara Creations,Mickey J. Meyer,"Sumanth Ashwin, Anitha Chowdary, Sri Divya, Viswant Duddumpudi, Tejaswi Madivada, Parvateesam, Pragathi, Mamilla Shailaja Priya, Sameer, Kedar Shankar"
Jadoogadu,June,2015.0,Yogie,Sathyaa Entertainments,Mahati Swara Sagar,"Sonarika Bhadoria, Parsa Mohava, Naga Shaurya, Ashish Vidyarthi"
Jyothi Lakshmi,June,2015.0,Puri Jagannadh,"CK Entertainments, Sree Subha Swetha Films",Sunil Kashyap,"Sampoornesh Babu, Brahmanandam, Satyadev Kancharana, Charmme Kaur"
Tippu,June,2015.0,Prince Jagadeesh Daneti,Aditya Films,Mani Sharma,"Karthik Raju, Kanikka Kapur, Chalapathi Rao, Nagendra Babu, Krishna Bhagavan, Krishna Murali Posani, Shanoor Sana, Rajshri Nair, Mukhtar Khan, Padma Jayanthi"
Asura,June,2015.0,"Krishna Vijay, Vasant Kumar Jurru","Aran Media Works, Devas Media & Entertainment, Kushal Cinema",Sai Kartheek,"Ravi Varma, Priya Banerjee, Bhanu, Satyadev Kancharana, Vennela Rama Rao, Nara Rohith, Madhu Singampalli, Sree Vishnu"
Vinavayya Ramayya,June,2015.0,Gram Prasad,Saraswati Films,Anup Rubens,"Naga Anvesh, Brahmanandam, Srinivas Govind, Harish Koyalagundla, Kruthika, Tori Lao-Lee, Prakash Raj, Shankar Ram Gopal Varma"
Tiger,June,2015.0,Vi Anand,"NVR Cinema, Aditya Music",S. Thaman,"Sundeep Kishan, Rahul Ravindran, Seerat Kapoor, Saandip, Tanikella Bharani, Kasi Vishwanath, Nagendra Babu, Sapthagiri, Praveen, Venu Tillu"
Aa Okkadu,June,2015.0,Srinivass Nidadavole,Tolly2Holly,Mani Sharma,"Ajay, Suresh Gopi, Nyra Banerjee, M.S. Narayana, Dharmavarapu Subramanyam, Bharat Kumar, Nassar, Sai Srujan Pelluri, Sunil, Vijayachander"
帝國戰神：巴霍巴利王,May,2016.0,S.S. Rajamouli,Arka Mediaworks,M.M. Keeravani,"Prabhas, Rana Daggubati, Anushka Shetty, Tamannaah Bhatia, Sathyaraj, Ramya Krishnan, Nassar, Rohini, Meka Rama Krishna, Adivi Sesh"
James Bond,July,2015.0,"Vasil Kacarov, Sai Kishore Macha","A.K. Entertainments India, AK Entertainments",Sai Karthik,"Allari Naresh, Sakshi Chaudhary, Ashish Vidyarthi, Chandramohan, Prabha, Krishna Bhagavan, Hema, Krishna Murali Posani, Jayaprakash Reddy, Raghu Babu"
Malini & Co.,August,2015.0,Veeru. K.,"Manish Films, Manisha Arts and Media",V. Gopal,"Zakir Hussain, Jeeva, Ravi Kale, Poonam Pandey, Ajay Ratnam, Samrat Reddy, Kavya Singh, Sambaa Siva, Suman"
Srimanthudu,August,2015.0,Koratala Siva,"G. Mahesh Babu Entertainment, Mythri Movie Makers, ZEE Entertainment Enterprises",Devi Sri Prasad,"Mahesh Babu, Shruti Haasan, Jagapathi Babu, Rajendra Prasad, Anand, Rahul Ravindran, Mohammad Ali, Sivaji Raja, Subbaraju, Mukesh Rishi"
Kick 2,August,2015.0,"Surender Reddy, Gogu",NTR Arts,S. Thaman,"Ravi Teja, Rakul Preet Singh, Rajsekhar Aningi, Darbha Appaji Ambarisha, Joy Badlani, Tanikella Bharani, Brahmanandam, Nikitin Dheer, Nora Fatehi, Indrasena"
Happy Ending,August,2015.0,Jayashankarr,"Aanya & Dhruv Productions, Golden Village Pictures",Mani Kumar Varma Ayenampudi,"Aishwarya Gorak, Svethlana, Manoj Krishna Tanneru, Ravi Siva Teja"
Kalaya Nijama,August,2015.0,Maheshh,"I Fantasy Design Studios, Mahesh Hima Movies",Vamshi Krishna Keys,"Raj, Geetha Bhagat, Bose, Gangabhavani, Jyothi, Lakshmi, Suresh Madabushi, Manasa, Bhanu Prasad, Krheash Raj"
Bhale Bhale Magadivoy,September,2015.0,Maruthi Dasari,"GA2 Pictures, Geetha Arts, UV Creations",Gopi Sundar,"Nani, Lavanya Tripathi, Murli Sharma, V.K. Naresh, Sithara, Ajay, Madhumitha, Vennela Kishore, Srinivasa Reddy, Satya Krishnan"
Subramanyam for Sale,September,2015.0,Harish Shankar,Sri Venkateswara Creations,Mickey J. Meyer,"Sai Dharam Tej, Regina Cassandra, Adah Sharma, Brahmanandam, Suman, Nagendra Babu, Ajay, Kota Srinivasa Rao, Rao Ramesh, V.K. Naresh"
Shivam,October,2015.0,Sreenivasa Reddy,Sri Sravanthi Movies,Devi Sri Prasad,"Ram Pothineni, Raashi Khanna, V.K. Naresh, Mano, Abhimanyu Singh, Brahmanandam, Vineeth Kumar, Jayaprakash Reddy, Krishna Murali Posani, Sapthagiri"
Bruce Lee: The Fighter,October,2015.0,Sreenu Vaitla,DVV Entertainment,S. Thaman,"Ram Charan, Rakul Preet Singh, Kriti Kharbanda, Arun Vijay, Sampath Raj, Nadia Moidu, Rao Ramesh, Pavitra Lokesh, Mukesh Rishi, Jayaprakash Reddy"
Kanche,October,2015.0,Radha Krishna Jagarlamudi,"First Frame Entertainment, Sarke Studio",Chirantan Bhatt,"Varun Tej, Pragya Jaiswal, Nikitin Dheer, Srinivas Avasarala, Gollapudi Maruthi Rao, Sowcar Janaki, Singeetam Srinivasa Rao, Satyam Rajesh, Anoop Puri, Javid Dolph"
Raju Gari Gadhi,October,2015.0,Omkar,"A.K. Entertainments India, AK Entertainments, Oak Entertainments",Sai Karthik,"Ashwin Babu, Dhanya Balakrishna, Pawan Bolisetty, Chethan Cheenu, Dhanraj, Jeeva, Rajeev Kanakala, Shamna Kasim, Eshanya Maheshwari, Krishna Murali Posani"
Rudhramadevi,October,2015.0,Gunasekhar,Gunaa Teamworks,Ilaiyaraaja,"Anushka Shetty, Allu Arjun, Rana Daggubati, Vikramjeet Virk, Prakash Raj, Krishnamraju, Hamsa Nandini, Sreoshi Chatterjee, Prabha, Brahmanandam"
Columbus,October,2015.0,R. Samala,AKS Media & Entertainment,,"Sumanth Ashwin, Roshan Basheer, Mishti Chakravarty, Murtaza Gandhi, Seerat Kapoor, Nagineedu, Kumar Sai Pampana, Gangadhar Panday, Rohini, Sapthagiri"
I Hate You,October,2015.0,Pavan Rachepalli,Next Frame Pictures,Kabir Rafi,"Raghava Chowdary, Krathi Kumar, Jabardast Nagtej, Prathyusha, Nithyaa Sree Reddy"
Akhil,November,2015.0,V.V. Vinayak,Sreshth Movies,Anup Rubens,"Akhil Akkineni, Sayyeshaa Saigal, Rajendra Prasad, Brahmanandam, Mahesh Manjrekar, Vennela Kishore, Hema, Sapthagiri, Byron Gibson, Karishma Karpal"
Kumari 21F,November,2015.0,Palnati Surya Pratap,"PA Motion Pictures, Sukumar Writings",Devi Sri Prasad,"Raj Tarun, Hebah Patel, Noel Sean, Naveen Neni, Sudharshan, Bhanu Sri, Hema, Aravind, Vajja Venkata Giridhar, Apoorva Gowda"
Love States,November,2015.0,Shravan Kumar Gupta,Hezen Entertainments,Pavan Shesha,"Tanya Gupta, Tanya Sharma, Ambika Soni, Upen"
Chirugodavalu,November,2015.0,Trikaran,Eleven Plus,,"Parameshwar Hivrale, Rohit Sahni, Bhavika Talwar, Sravan, Sidharth Pithani, Sandhya Janak"
Loafer,December,2015.0,Puri Jagannadh,"CK Entertainments, Sree Subha Swetha Films, TOABH Talent Management",Sunil Kashyap,"Varun Tej, Disha Patani, Revathi, Mukesh Rishi, Krishna Murali Posani, Brahmanandam, Ali, Charandeep Surneni, Pavitra Lokesh, Sapthagiri"
Sankarabharanam,December,2015.0,"Kona Venkat, Uday Nandanavanam",MVV Cinema,Praveen Lakkaraju,"Satya Akkala, Anjali, Raghu Babu, Krishna Bhagavan, Chammak Chandra, Harsha Chemudu, Giridhar, Rakesh Jabardasth, Harish Koyalagundla, Sanjay Mishra"
Soukhyam,December,2015.0,A.S. Ravi Kumar Chowdary,Bhavya Creations,Anup Rubens,"Gopichand, Regina Cassandra, Mukesh Rishi, Pradeep Singh Rawat, Devan, Brahmanandam, Arjun Ambati, Raghu Babu, Krishna Bhagavan, Sowcar Janaki"
Ee Cinema Superhit Guarantee,December,2015.0,Chandu Muddu,Cini Nilaya Creations,Maruthi Raja,"Aishwarya Addala, Punarnavi Bhupalam, H.H. Mahadev, Viva Raghav, Sri Sri"
Nannaku Prematho,January,2016.0,Sukumar,"Reliance Entertainment, Sri Venkateswara Cine Chitra",Devi Sri Prasad,"N.T. Rama Rao Jr., Rakul Preet Singh, Jagapathi Babu, Rajendra Prasad, Rajeev Kanakala, Liza van der Smissen, Darien Asian, Srinivas Avasarala, Nadia Awan, Joy Badlani"
Nenu Sailaja,January,2016.0,Thirumala Kishore,"Sri Sravanthi Films, Sri Sravanthi Movies",Devi Sri Prasad,"Ram Pothineni, Keerthy Suresh, Sathyaraj, Prince Cecil, Sreemukhi, Pradeep Singh Rawat, Rohini, Dhanya Balakrishna, Himaja, Vijayakumar"
Soggade Chinni Nayana,January,2016.0,Kalyan Krishna,Annapurna Studios,Anup Rubens,"Nagarjuna Akkineni, Ramya Krishnan, Lavanya Tripathi, Gopal Krishna Akella, Banerjee, Anasuya Bharadwaj, Pawan Bolisetty, Brahmaji, Brahmanandam, Chalapathi Rao"
Seethamma Andalu Ramayya Sitralu,January,2016.0,Srinivas Gavireddy,Sree Shailendra Productions,Gopi Sundar,"Aadarsh Balakrishna, Arthana Binu, DjHandsomeNasir2, Randhir Gatla, Chandu Koduri, Adarsh Nair, Raja Ravindra, Subhash Sarikonda, Nimmala Shankar, Shakalaka Shankar"
Maalai Nerathu Mayakkam,January,2016.0,Gitanjali Selvaraghavan,Beeptone Studios,Amrit,"Balakrishna Kola, Wamiqa Gabbi, Parvati Nair, Azhagam Perumal, Kalyani Natarajan, Ajay Ratnam"
Express Raja,January,2016.0,Merlapaka Gandhi,UV Creations,J.B.,"Sharwanand, Surbhi, Urvashi, Krishna Murali Posani, Harish Uthaman, Surya, Nagineedu, Brahmaji, Prabhas Sreenu, Supreet"
Lacchimdeviki O Lekkundi,January,2016.0,Jagadish Talasila,Mayukha Creations,M.M. Keeravani,"Naveen Chandra, Lavanya Tripathi, Ajay, Ayyappa, Baaji, Sampoornesh Babu, Suri Babu, Bhadram, Bhanu Sri, Bhaskar"
Ramasakkani Rakumarudu,January,2016.0,Uday Kalluri,Uday Productions,Hemachandra Vedala,"Koteshwar Avvari, Gurunadh Desu, Uday Kalluri, Sarun Kotte, Latha Kundurpi, Umapathi Rao Marella, Gleb Masaltsev, Sitha Rao Pillalamarri, Sapna, Uday"
Kshanam,February,2016.0,Ravikanth Perepu,"Matinee Entertainments, PVP Cinema",Sricharan Pakala,"Adivi Sesh, Adah Sharma, Anasuya Bharadwaj, Satyadev Kancharana, Vennela Kishore, Ravi Varma, Satyam Rajesh, Dolly, Abuzy, Marcellein Koffi Houessou"
Krishna Gaadi Veera Prema Gaadha,February,2016.0,Hanu Raghavapudi,14 Reels Entertainment,Vishal Chandrashekhar,"Nani, Mehreen Pirzada, Murli Sharma, Sampath Raj, Brahmaji, Satyam Rajesh, Ravi Kale, Prudhviraj, Naina Kommera, Moksha"
Garam,February,2016.0,Madan,"R.K. Duggal Studios, Srinivasa Sai Screens",Agastya,"Aadi, Adah Sharma, Kabir Duhan Singh, Brahmanandam, Krishna Murali Posani, Satya Prakash, Supreet, Chaitanya Krishna, Madhunandan, Shakalaka Shankar"
Speedunnodu,February,2016.0,Srinivasa Rao Bhimaneni,"Good Will Cinema, Toughened Studios",Sri Vasanth,"Sai Srinivas Bellamkonda, Sonarika Bhadoria, Prakash Raj, Mohammad Ali, Tamannaah Bhatia, Raghu Kumar Karumanchi, Krishna Murali Posani, Srinivasa Reddy, Satya, Kabir Duhan Singh"
Half Girlfriend 2,February,2016.0,Jayashankarr,M & Co.,P.V.R. Raja,"Ashish Gandhi, Gayathri Jujare, Prachi Thakker, Varma Vinod"
Terror,February,2016.0,Satish Kasetty,Akhanda Bharat Creations,Sai Karthik,"Meka Srikanth, Ravi Varma, Kota Srinivasa Rao, Prudhviraj, Krishna Madupu, Vinay Varma, Nikhita, Nassar, Sudha, Uttej"
Oopiri,March,2016.0,Vamshi Paidipally,PVP Cinema,Gopi Sundar,"Nagarjuna Akkineni, Karthi, Tamannaah Bhatia, Prakash Raj, Jayasudha, Vivek, Mohammad Ali, Kalpana, Tanikella Bharani, Punarnavi Bhupalam"
Kalyana Vaibhogame,March,2016.0,B.V. Nandini Reddy,Sri Ranjith Movies,Kalyana Ramana,"Naga Shaurya, Malvika Nair, Raasi, Pearle Maaney, Aishwariyaa Bhaskaran, Pragathi, Anand, Thagubothu Ramesh, Dhanraj, Ashish Vidyarthi"
Guntur Talkies,March,2016.0,Praveen Sattaru,R.K. Studios Ltd.,Sricharan Pakala,"Mehaboob Ai, B. Ambareesh, Apoorva, P. Eshwar Appa, Asha, Ashok, Kiran Baalu, B. Kiran Babu, Raghu Babu, S. Balaji"
Run,March,2016.0,Ani Kanneganti,"A.K. Entertainments India, AK Entertainments",Sai Karthik,"Sundeep Kishan, Anisha Ambrose, Bobby Simha, Mahat Raghavendra, Krishna Murali Posani, Kasi Vishwanath, Brahmaji, Madhunandan, Sivannarayana, Sudharshan"
Shourya,March,2016.0,Dasaradh,Suraksh Entertainments,K. Vedaa,"Brahmanandam, Regina Cassandra, Manoj Kumar Manchu, Nagineedu, Prakash Raj, Sayaji Shinde, Subbaraju"
Sardaar Gabbar Singh,April,2016.0,Bobby Kolli,"North Star Entertainments, Northstar Entertainment, Pawan Kalyan Creative Works",Devi Sri Prasad,"Pawan Kalyan, Kajal Aggarwal, Sharad Kelkar, Sanjjanaa Galrani, Brahmanandam, Mohammad Ali, Tanikella Bharani, Mukesh Rishi, Rao Ramesh, Pradeep Singh Rawat"
Sarrainodu,April,2016.0,Boyapati Srinu,Geetha Arts,S. Thaman,"Allu Arjun, Aadhi, Rakul Preet Singh, Catherine Tresa, Anjali, Annapoorna, Joy Badlani, Aadarsh Balakrishna, Brahmanandam, Chalapathi Rao"
Eedo Rakam Aado Rakam,April,2016.0,G. Nageswara Reddy,"A.K. Entertainments India, AK Entertainments",Sai Karthik,"Vishnu Manchu, Raj Tarun, Sonarika Bhadoria, Hebah Patel, Rajendra Prasad, Krishna Murali Posani, Ravi Babu, Abhimanyu Singh, Vennela Kishore, Thagubothu Ramesh"
Savitri,April,2016.0,Pavan Sadineni,Vision film Makers,Shravan Bharadwaj,"Ajay, Ravi Babu, Dhanya Balakrishna, Jeeva, Vennela Kishore, Madhunandan, Moin, Krishna Murali Posani, Nandita Raj, Satyam Rajesh"
Love Cheyyala Vadda,April,2016.0,S. Noushad,"GK Cinemas,",Gautham Danny,"Karteek Gopasana, Honey Jo, Kumar Sai Pampana, Priyanka Rathod, Swetaa Varma"
Dhana Dhan,April,2016.0,Shree,Blockbuster Movie makers,S. Thaman,"Charlie, Ramya Nambeeshan, Kota Srinivasa Rao, Vaibhav Reddy, Sayaji Shinde"
Raja Cheyyi Vesthe,April,2016.0,Pradeep Chilukuri,Vaarahi Chalana Chitram,Sai Karthik,"Ravi Varma, Gopal Krishna Akella, Srinivas Avasarala, Harsha Chemudu, Rajeev Kanakala, Raghu Kumar Karumanchi, Sanjay Krishna, Taraka Ratna Nandamuri, C.V.L. Narasimha Rao, Nara Rohith"
Brahmotsavam,May,2016.0,Srikanth Addala,"G. Mahesh Babu Entertainment, PVP Cinema",Mickey J. Meyer,"Mahesh Babu, Kajal Aggarwal, Samantha Ruth Prabhu, Pranitha Subhash, Sathyaraj, Sayaji Shinde, Tanikella Bharani, Jayasudha, Pavani Gangireddy, Avantika"
Supreme,May,2016.0,Anil Ravipudi,Sri Venkateswara Creations,Sai Kartheek,"Sai Dharam Tej, Raashi Khanna, Rajendra Prasad, Ravi Kishan, Sai Kumar, Krishna Murali Posani, Srinivasa Reddy, Murali Mohan, Kabir Duhan Singh, Vennela Kishore"
A Aa,June,2016.0,Trivikram Srinivas,Haarika & Hassine Creations,Mickey J. Meyer,"Nithiin, Samantha Ruth Prabhu, Anupama Parameswaran, Nadia Moidu, V.K. Naresh, Rao Ramesh, Srinivas Avasarala, Ananya, Krishna Murali Posani, Srinivasa Reddy"
Pelli Choopulu,July,2016.0,Tharun Bhascker Dhaassyam,"Dharmapath Creations, Big Ben Cinemas, Vinoothna Geetha",Vivek Sagar,"Abhay Bethiganti, Keshav Deepak, Vijay Deverakonda, Anish Kuruvilla, Padmaja Lanka, Gururaj Manepalli, Priyadarshi Pulikonda, Kedar Shankar, Sawkar Siddhanth, Sujatha"
Brahmana,July,2016.0,Srinivas Raju,Sri Taraka Rama Pictures,Mani Sharma,"Saloni Aswani, Avinash, Sihi Kahi Chandru, Makrand Deshpande, Doddanna, Ragini Dwivedi, Sadhu Kokila, Sharath Lohitashwa, P. Ravi Shankar, Upendra"
Selfie Raja,July,2016.0,G. Eshwar Reddy,"A.K. Entertainments India, AK Entertainments",Sai Karthik,"Ravi Babu, Sakshi Chaudhary, Allari Naresh, Prudhviraj, Thagubothu Ramesh, Kamna Ranawat, Racha Ravi, Balli Reddy"
Chuttalabbayi,August,2016.0,Veerabhadram,SRT Entertainments,S. Thaman,"Aadi, John Kokken, Vamsi Krishna, Sai Kumar, Yamini Malhotra, Namitha Pramod, Prudhviraj, Racha Ravi, Sudharshan"
Manamantha,August,2016.0,Chandra Sekhar Yeleti,Vaarahi Chalana Chitram,Mahesh Shankar,"Mohanlal, Gautami, Viswant Duddumpudi, Raina Rao, Avantika, Anisha Ambrose, Darbha Appaji Ambarisha, P. Balachandran, Bikshu, Brahmaji"
Aatadukundam Raa,August,2016.0,G. Nageswara Reddy,Annapurna Studios,Anup Rubens,"Sushanth, Sonam Bajwa, Anand, Murli Sharma, Krishna Murali Posani, Brahmanandam, Gopal Krishna Akella, Akhil Akkineni, Naga Chaitanya Akkineni, Ananth Babu"
Thikka,August,2016.0,Sunil K. Reddy,Sri Venkateswara Movie Makers,S. Thaman,"Sai Dharam Tej, Larissa Bonesi, Rajendra Prasad, Mannara Chopra, Thagubothu Ramesh, Vennela Kishore, Harshavardhan, Sapthagiri, Mohammad Ali, Gurbani"
Sivagami,August,2016.0,Raghavendra K. Gollahalli,Tulsi Films,Thyagraj M.S.,"Manish Arya, Priyanka Rao, Suhasini, Baby Suhasini"
Hyper,September,2016.0,Santosh Srinivas,14 Reels Entertainment,Ghibran,"Ram Pothineni, Raashi Khanna, Sathyaraj, Rao Ramesh, Murli Sharma, V.K. Naresh, Tulasi, Sayaji Shinde, Suman, Krishna Murali Posani"
Majnu,September,2016.0,Virinchi Varma,"Anandi Art Creations, Keva Movies",Gopi Sundar,"Nani, Riya Suman, Anu Emmanuel, Priya Shri, Keshav Deepak, Vennela Kishore, Naga Mahesh, Bhawan Manish, Krishna Murali Posani, S.S. Rajamouli"
Janatha Garage,September,2016.0,Koratala Siva,Mythri Movie Makers,Devi Sri Prasad,"N.T. Rama Rao Jr., Mohanlal, Samantha Ruth Prabhu, Nithya Menen, Kajal Aggarwal, Unni Mukundan, Ajay, Suresh, Saikumar, Devayani"
Siddhartha,September,2016.0,Dayanand Reddy,Ramadhootha Creations,Mani Sharma,"Ajay, Sakshi Chaudhary, Randhir Gatla, Nagineedu, Sagar R.K. Naidu, Sagar Rk Naidu, Ragini, Satyam Rajesh, Thagubothu Ramesh, Sana"
Jyo Achyutananda,September,2016.0,Srinivas Avasarala,Vaarahi Chalana Chitram,Kalyana Ramana,"Nara Rohith, Naga Shaurya, Regina Cassandra, Tanikella Bharani, Pavani Gangireddy, R.J. Hemant, Ashok Kumar, Nani, Rajeswari Pamidighantam, Sanjay Reddy"
Wish You Happy Breakup,September,2016.0,Kiran Rao Paruvella,Fair Shake Films,Paragg Chhabra,"Ravi Kamath, Udai Kiran, Kirthi Kumar, Tejaswi Madivada, Devaa Malishetty, Sreyesh Nimmagadda, Maniikanta Sunni, Swetaa Varma"
Rekka,October,2016.0,Rathina Shiva,Common Man,D. Imman,"Vijay Sethupathi, Lakshmi Menon, Sija Rose, Harish Uthaman, Kishore Kumar G., Kabir Duhan Singh, Sathish Krishnan, K.S. Ravikumar, Sriranjani, Meera Krishnan"
Ism,October,2016.0,Puri Jagannadh,NTR Arts,Anup Rubens,"Nandamuri Kalyan Ram, Aditi Arya, Jagapathi Babu, Tanikella Bharani, Ajay Ghosh, Vasanth Kalyan, Vennela Kishore, Vinni Mobstaz, Krishna Murali Posani, Easwari Rao"
Abhinetri,October,2016.0,A.L. Vijay,"Kona Film Corporation, MVV Cinema",,"Tamannaah Bhatia, Prabhu Deva, Amy Jackson, Ravi Khanna, Murli Sharma, Sonu Sood"
Premam,October,2016.0,Chandoo Mondeti,Sithara Entertainments,Rajesh Murugesan,"Naga Chaitanya Akkineni, Shruti Haasan, Madonna Sebastian, Anupama Parameswaran, Chaitanya Krishna, Praveen, Jeeva, Avantika, Nagarjuna Akkineni, Joy Badlani"
L7,October,2016.0,Mukund Pandey,Rahul Movie Makers,,"Ajay, Baby Akshara, Bhavana Baratwal, Bul Bul, Eesha, Eswarappa, Pooja Jhaveri, Keerthi, Kesha Khambhati, Vennela Kishore"
Eedu Gold Ehe,October,2016.0,Veeru Potla,A.K. Entertainments India,Mahati Swara Sagar,"Ananth, Puneet Issar, Jayasudha, Vennela Kishore, V.K. Naresh, Richa Panai, Krishna Murali Posani, Prudhviraj, Sushma Raj, Raja Ravindra"
Shankara,October,2016.0,Thathineni Satya Prakash,Sri Leela Movies,Sai Karthik,"Nara Rohith, Regina Cassandra, John Vijay, Hazel Croney, Rajeev Kanakala, M.S. Narayana, Neelya, Pragathi, Aahuthi Prasad, Karan Viijay"
Ekkadiki Pothavu Chinnavada,November,2016.0,Vi Anand,Meghana Arts,Sekhar Chandra,"Nikhil Siddharth, Hebah Patel, Nandita Shwetha, Avika Gor, Tanikella Bharani, Vennela Kishore, Thagubothu Ramesh, Mahesh Achanta, Annapoorna, Chammak Chandra"
Saahasam Swaasaga Saagipo,November,2016.0,Gautham Vasudev Menon,"Dwaraka Creations, Ondraga Entertainment",A.R. Rahman,"Naga Chaitanya Akkineni, Manjima Mohan, Baba Sehgal, Rakendu Mouli, Daniel Balaji, Sathish Krishnan, Gautham Vasudev Menon, Krrish Menon, Nagineedu, Samragni Rajan"
Dhruva,December,2016.0,Surender Reddy,Geetha Arts,Hiphop Tamizha Adhi,"Ram Charan, Arvind Swamy, Rakul Preet Singh, Navdeep, Krishna Murali Posani, Sayaji Shinde, Abhinaya, Nassar, Farah Karimaee, Ali Reza"
Vangaveeti,December,2016.0,Ram Gopal Varma,Ramadhootha Creations,Ashish Ali,"Ram Gopal Varma, Naina Ganguly, Rama Rao Jadhav, Shivakumar Ramachandravarapu, Sandeep Madhav, Nanda Gopal, Pragya, Sharma, Swarnakanth, Shritej"
Appatlo Okadundevadu,December,2016.0,Saagar K Chandra,Aran Media Works,Sai Karthik,"Nara Rohith, Sree Vishnu, Tanya Hope, Sasha Singh, Ajay, Darbha Appaji Ambarisha, Brahmaji, Manasa Himavarsha, Jeeva, Rajeev Kanakala"
Saptagiri Express,December,2016.0,Arun Pawar,Sai Celluloid Cinematic Creations,Vijay Bulganin,"Sapthagiri, Roshini Prakash, Mohammad Ali, Shakalaka Shankar, Krishna Murali Posani, Sayaji Shinde, Ajay Ghosh, Mahesh Achanta, Ashok, Ballari Babu"
Plus One +1,December,2016.0,"Alahari, Alahari",Sucheta DreamWorks Productions,Jayasurya,"Saahil Sehgal, Arti Puri, Thagubothu Ramesh, Poornima Jayaram, Teja Reddy"
Naanna Nenu Naa Boyfriends,December,2016.0,Bhaskar Bandi,Lucky Media,Sekhar Chandra,"Mahesh Achanta, Ashwin Babu, Krishna Bhagavan, Chammak Chandra, Dhanraj, Thotapalli Madhu, Tejaswi Madivada, Parvateesam, Hebah Patel, Rao Ramesh"
Meelo Evaru Koteeswarudu,December,2016.0,E. Satthi Babu,"Sri Sathya Sai Arts, Sri Sathya Sai Movies",Sri Vasanth,"Saloni Aswani, Naveen Chandra, Palamuru Devaraj, Pruthvi, Jayaprakash Reddy, Shruti Sodhi, Meesam Suresh"
Nenosta,December,2016.0,Parand Kalyan,Rising Dreams Productions,,"Priyanka Pallavi, Gnan Prakash, Surya Srinivas, Surya Srinivas"
Karam Dosa,Dec,2016.0,Gajulapalli Trivikram,Veenaa Vedika Productions Private Limited,Siddarth Watkins,"Shivakumar Ramachandravarapu, Raghunadh Eswar Reddy, Surya Srinivas, Surya Srinivas, Kasi Vishwanath"
Shatamanam Bhavati,January,2017.0,Satish Vegesna,Sri Venkateswara Creations,Mickey J. Meyer,"Sharwanand, Anupama Parameswaran, Prakash Raj, Jayasudha, Indraja, Raja Ravindra, Himaja, Ravi Prakash, Praveen, Prabhas Sreenu"
Khaidi No. 150,January,2017.0,V.V. Vinayak,"Konidela Production Company, Lyca Productions",Devi Sri Prasad,"Chiranjeevi, Kajal Aggarwal, Tarun Arora, Mohammad Ali, Mahesh Achanta, Raghu Babu, Brahmanandam, Ram Charan, Rudranil Ghosh, Raghu Kumar Karumanchi"
